"Observations","Time.Spent.at.DentMax.Booth","Time.Spent.at.DentMed.OxyMax.Booth","Total.Time.spent.at.show","X..Buying.from.DentMax.in.the.past","Historical.Sales.Index","Sales.Frequency","Length.of.Relationship","Number.of.Referrals.Offered","Importance.of.Image.Quality","Importance.of.Diagnostic.Flexibility","Importance.of.Software.Intergation","Importance.of.Technical.Assistance","Importance.of.Price","Trust.in.TV.ads","Trust.in.Radio.Ads","Trust.in.Internet.Ads","Trust.in.Dental.Magazine.Ads","Trust.in.Peers"
"Respondent 1","12","22","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 2","13","22","150","32","20","3","4","1","5","5","5","7","7","5","5","4","5","5"
"Respondent 3","12","21","150","32","22","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 4","11","21","150","33","21","3","4","1","5","5","5","6","7","4","5","4","5","5"
"Respondent 5","12","21","150","32","21","3","4","1","5","5","5","7","7","5","4","4","5","6"
"Respondent 6","36","78","180","45","64","5","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 7","12","21","150","32","21","3","5","1","5","5","5","6","7","4","5","4","5","5"
"Respondent 8","45","27","130","100","58","6","8","12","7","7","4","5","4","5","4","3","7","6"
"Respondent 9","6","11","61","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 10","36","79","179","45","64","4","9","2","6","6","7","6","6","5","4","6","6","7"
"Respondent 11","13","21","150","32","20","3","4","0","5","5","5","7","7","5","4","4","5","6"
"Respondent 12","11","21","150","32","20","3","4","0","5","5","5","7","6","4","5","4","5","6"
"Respondent 13","6","12","61","6","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 14","6","12","59","5","8","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 15","7","10","60","6","10","1","8","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 16","6","11","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 17","6","11","60","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 18","35","78","180","45","64","5","9","2","6","6","7","6","6","4","5","6","6","7"
"Respondent 19","37","78","181","45","65","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 20","12","20","151","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 21","36","78","180","45","63","5","9","2","6","5","7","6","6","4","5","6","6","7"
"Respondent 22","45","26","130","99","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 23","37","78","180","45","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 24","36","78","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 25","12","21","150","32","20","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 26","12","21","149","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 27","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 28","5","11","60","6","10","1","9","0","4","4","4","7","7","4","3","2","4","5"
"Respondent 29","7","10","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 30","35","78","181","45","64","4","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 31","12","21","151","32","21","3","4","1","5","6","5","6","7","5","4","4","5","6"
"Respondent 32","6","11","60","7","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 33","36","78","180","46","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 34","45","26","130","100","58","6","8","12","7","7","4","6","4","5","4","4","6","6"
"Respondent 35","12","21","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 36","45","26","129","100","58","6","8","12","7","7","4","5","4","5","4","3","7","6"
"Respondent 37","5","11","59","6","10","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 38","6","11","60","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 39","12","20","149","31","21","3","4","0","5","5","5","6","7","5","5","4","5","5"
"Respondent 40","12","21","150","32","21","3","4","0","5","5","5","7","6","5","5","4","6","6"
"Respondent 41","36","78","180","44","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
