"Timestamp","Food and drink prices","Quality and variety of beverages","Atmosphere, ambiance, and comfort","Consistency of product and experience across different Starbucks locations","WiFi Connection","Sanitary facilities (W.C./restroom)","Friendliness and level of customer service provided by Starbucks staff","Availability and accessibility of Starbucks locations","Please rate your overall experience at Starbucks"
"2022/05/29 12:37:46 PM GMT+2","4","6","6","7","7","5","7","6","6"
"2022/05/29 12:45:18 PM GMT+2","4","4","4","5","5","5","3","4","4"
"2022/05/29 12:46:06 PM GMT+2","3","6","6","5","6","5","5","5","5"
"2022/05/29 12:47:01 PM GMT+2","2","3","1","7","6","1","5","7","3"
"2022/05/29 12:47:55 PM GMT+2","6","6","5","6","7","6","6","7","6"
"2022/05/29 12:48:10 PM GMT+2","3","7","7","6","6","6","6","7","6"
"2022/05/29 12:49:22 PM GMT+2","2","3","3","3","4","4","4","2","2"
"2022/05/29 12:50:42 PM GMT+2","6","7","7","7","6","7","6","7","7"
"2022/05/29 12:52:59 PM GMT+2","6","6","6","7","6","4","5","7","6"
"2022/05/29 1:00:29 PM GMT+2","2","4","5","6","5","5","6","6","5"
"2022/05/29 1:05:03 PM GMT+2","3","4","6","7","5","5","6","7","5"
"2022/05/29 1:05:45 PM GMT+2","3","5","6","5","7","7","5","6","4"
"2022/05/29 1:06:03 PM GMT+2","3","4","6","7","6","6","5","6","4"
"2022/05/29 1:10:39 PM GMT+2","4","6","5","6","6","5","5","5","6"
"2022/05/29 1:16:35 PM GMT+2","5","3","5","6","6","6","6","5","5"
"2022/05/29 1:17:30 PM GMT+2","5","5","6","7","7","7","5","3","5"
"2022/05/29 1:18:07 PM GMT+2","3","5","5","6","4","4","6","6","5"
"2022/05/29 1:19:09 PM GMT+2","4","6","5","5","4","4","6","6","5"
"2022/05/29 1:23:12 PM GMT+2","3","5","6","6","3","3","5","5","5"
"2022/05/29 1:26:30 PM GMT+2","3","3","6","5","5","5","5","5","5"
"2022/05/29 1:27:21 PM GMT+2","3","5","7","7","7","7","6","6","5"
"2022/05/29 1:27:45 PM GMT+2","5","3","3","2","4","2","2","2","5"
"2022/05/29 1:35:09 PM GMT+2","3","6","6","5","7","3","5","7","5"
"2022/05/29 1:37:12 PM GMT+2","6","7","7","7","7","7","7","7","7"
"2022/05/29 1:39:38 PM GMT+2","5","5","6","7","7","5","6","5","4"
"2022/05/29 1:40:54 PM GMT+2","2","6","7","7","5","5","6","6","5"
"2022/05/29 1:44:08 PM GMT+2","5","5","4","5","7","6","5","6","5"
"2022/05/29 1:48:03 PM GMT+2","7","5","6","7","7","7","7","1","7"
"2022/05/29 1:49:59 PM GMT+2","5","6","5","7","7","7","7","7","5"
"2022/05/29 1:53:09 PM GMT+2","6","6","6","7","7","6","7","7","6"
"2022/05/29 1:56:52 PM GMT+2","4","5","6","7","6","6","6","6","4"
"2022/05/29 1:57:39 PM GMT+2","4","5","6","6","7","7","7","7","6"
"2022/05/29 2:04:04 PM GMT+2","6","6","6","6","5","4","5","5","6"
"2022/05/29 2:07:24 PM GMT+2","4","5","6","6","2","6","6","6","5"
"2022/05/29 2:09:44 PM GMT+2","3","5","5","5","7","6","5","7","5"
"2022/05/29 2:11:37 PM GMT+2","6","6","7","6","7","4","7","7","5"
"2022/05/29 2:11:59 PM GMT+2","5","6","6","6","6","6","6","6","6"
"2022/05/29 2:14:29 PM GMT+2","4","5","3","6","4","3","5","5","4"
"2022/05/29 2:18:38 PM GMT+2","3","4","6","6","5","4","4","5","5"
"2022/05/29 2:21:08 PM GMT+2","6","7","7","7","6","7","7","7","7"
"2022/05/29 2:28:04 PM GMT+2","2","5","6","5","6","4","6","6","3"
"2022/05/29 2:30:43 PM GMT+2","6","5","6","7","6","5","7","7","6"
"2022/05/29 2:32:51 PM GMT+2","3","6","6","3","6","6","7","6","5"
"2022/05/29 2:37:29 PM GMT+2","4","4","6","3","6","6","4","3","4"
"2022/05/29 2:44:26 PM GMT+2","3","5","5","5","4","6","4","5","4"
"2022/05/29 2:51:38 PM GMT+2","2","6","5","5","5","5","6","5","4"
"2022/05/29 2:54:53 PM GMT+2","5","5","3","7","6","5","3","7","5"
"2022/05/29 2:59:39 PM GMT+2","6","7","6","7","7","5","5","6","7"
"2022/05/29 3:05:18 PM GMT+2","4","5","5","5","7","6","5","6","4"
"2022/05/29 3:11:12 PM GMT+2","3","5","4","6","5","7","6","6","5"
"2022/05/29 3:18:54 PM GMT+2","3","6","6","6","7","6","6","6","6"
"2022/05/29 3:30:56 PM GMT+2","2","5","6","5","6","5","5","5","3"
"2022/05/29 3:34:00 PM GMT+2","5","6","7","7","4","3","5","6","5"
"2022/05/29 3:56:49 PM GMT+2","4","6","5","5","4","4","5","5","5"
"2022/05/29 3:57:15 PM GMT+2","5","5","5","7","6","5","6","7","6"
"2022/05/29 4:09:31 PM GMT+2","4","6","6","6","7","3","5","5","4"
"2022/05/29 4:15:50 PM GMT+2","6","5","4","7","6","6","4","5","5"
